	OASPL Time History(Microphone)	
X [s]	dB [Ref 2.00e-05 Pa]
1.970000e+02	5.747981e+01
1.980000e+02	5.620872e+01
1.990000e+02	5.547516e+01
2.000000e+02	5.567384e+01
2.010000e+02	5.493726e+01
2.020000e+02	5.335461e+01
2.030000e+02	5.188871e+01
2.040000e+02	5.228781e+01
2.050000e+02	5.771207e+01
2.060000e+02	6.080235e+01
2.070000e+02	5.981516e+01
2.080000e+02	5.894712e+01
2.090000e+02	5.818899e+01
2.100000e+02	5.700140e+01
2.110000e+02	5.663714e+01
2.120000e+02	5.653370e+01
2.130000e+02	5.628326e+01
2.140000e+02	5.646329e+01
2.150000e+02	5.620029e+01
2.160000e+02	5.655683e+01
2.170000e+02	5.881853e+01
2.180000e+02	6.225147e+01
2.190000e+02	6.245988e+01
2.200000e+02	6.319193e+01
2.210000e+02	6.386837e+01
2.220000e+02	6.595764e+01
2.230000e+02	6.690622e+01
2.240000e+02	6.811353e+01
2.250000e+02	6.610011e+01
2.260000e+02	6.449744e+01
2.270000e+02	6.391923e+01
2.280000e+02	6.461922e+01
2.290000e+02	6.586156e+01
2.300000e+02	6.610762e+01
2.310000e+02	6.549776e+01
2.320000e+02	6.578516e+01
2.330000e+02	6.570353e+01
2.340000e+02	6.634534e+01
2.350000e+02	6.608037e+01
2.360000e+02	6.575436e+01
2.370000e+02	6.462865e+01
2.380000e+02	6.411052e+01
2.390000e+02	6.460078e+01
2.400000e+02	6.376524e+01
2.410000e+02	6.384787e+01
2.420000e+02	6.389842e+01
2.430000e+02	6.299195e+01
2.440000e+02	6.245418e+01
2.450000e+02	6.206099e+01
2.460000e+02	6.218863e+01
2.470000e+02	6.165782e+01
2.480000e+02	6.118262e+01
2.490000e+02	6.094782e+01
2.500000e+02	6.142046e+01
2.510000e+02	6.103505e+01
2.520000e+02	6.291170e+01
2.530000e+02	6.464001e+01
2.540000e+02	6.378325e+01
2.550000e+02	6.373548e+01
2.560000e+02	6.336475e+01
2.570000e+02	6.332132e+01
2.580000e+02	6.279877e+01
2.590000e+02	6.176213e+01
2.600000e+02	6.100402e+01
2.610000e+02	6.041037e+01
2.620000e+02	5.965049e+01
2.630000e+02	5.937020e+01
2.640000e+02	5.906923e+01
2.650000e+02	5.810281e+01
2.660000e+02	5.845086e+01
2.670000e+02	5.763951e+01
2.680000e+02	5.585362e+01
2.690000e+02	5.382758e+01
2.700000e+02	5.288743e+01
2.710000e+02	4.984948e+01
2.720000e+02	5.447786e+01
2.730000e+02	5.720922e+01
2.740000e+02	6.060390e+01
2.750000e+02	6.063101e+01
2.760000e+02	6.084079e+01
2.770000e+02	6.052163e+01
2.780000e+02	6.272733e+01
2.790000e+02	6.590131e+01
2.800000e+02	6.547746e+01
2.810000e+02	6.407687e+01
2.820000e+02	6.510669e+01
2.830000e+02	6.677692e+01
2.840000e+02	6.755835e+01
2.850000e+02	6.762591e+01
2.860000e+02	6.613120e+01
2.870000e+02	6.500560e+01
2.880000e+02	6.447081e+01
2.890000e+02	6.443108e+01
2.900000e+02	6.526866e+01
2.910000e+02	6.477023e+01
2.920000e+02	6.341287e+01
2.930000e+02	6.312550e+01
2.940000e+02	6.256323e+01
2.950000e+02	6.165271e+01
2.960000e+02	6.092140e+01
2.970000e+02	6.034727e+01
2.980000e+02	5.994781e+01
2.990000e+02	5.872486e+01
3.000000e+02	5.721813e+01
3.010000e+02	5.706862e+01
3.020000e+02	6.224677e+01
3.030000e+02	6.278900e+01
3.040000e+02	6.219317e+01
3.050000e+02	6.131481e+01
3.060000e+02	6.101098e+01
3.070000e+02	6.334783e+01
3.080000e+02	6.227992e+01
3.090000e+02	6.088486e+01
3.100000e+02	6.017204e+01
3.110000e+02	5.798520e+01
3.120000e+02	5.645785e+01
3.130000e+02	5.473956e+01
3.140000e+02	5.228713e+01
3.150000e+02	5.138761e+01
3.160000e+02	5.390918e+01
3.170000e+02	5.736553e+01
3.180000e+02	5.787875e+01
3.190000e+02	5.955424e+01
3.200000e+02	6.208501e+01
3.210000e+02	6.201878e+01
3.220000e+02	6.213487e+01
3.230000e+02	6.579592e+01
3.240000e+02	6.546446e+01
3.250000e+02	6.372435e+01
3.260000e+02	6.398735e+01
3.270000e+02	6.550775e+01
3.280000e+02	6.448839e+01
3.290000e+02	6.363255e+01
3.300000e+02	6.423699e+01
3.310000e+02	6.804570e+01
3.320000e+02	6.774200e+01
3.330000e+02	6.619991e+01
3.340000e+02	6.571295e+01
3.350000e+02	6.518593e+01
3.360000e+02	6.535773e+01
3.370000e+02	6.521212e+01
3.380000e+02	6.477153e+01
3.390000e+02	6.380025e+01
3.400000e+02	6.293402e+01
3.410000e+02	6.282035e+01
3.420000e+02	6.206261e+01
3.430000e+02	6.183987e+01
3.440000e+02	6.122397e+01
3.450000e+02	6.122429e+01
3.460000e+02	6.081816e+01
3.470000e+02	6.075756e+01
3.480000e+02	6.140136e+01
3.490000e+02	6.130971e+01
3.500000e+02	6.124221e+01
3.510000e+02	6.057505e+01
3.520000e+02	5.991314e+01
3.530000e+02	5.977024e+01
3.540000e+02	5.953798e+01
3.550000e+02	5.927409e+01
3.560000e+02	5.858532e+01
3.570000e+02	5.768884e+01
3.580000e+02	5.706303e+01
3.590000e+02	5.669864e+01
3.600000e+02	5.603299e+01
3.610000e+02	5.591273e+01
3.620000e+02	5.459405e+01
3.630000e+02	5.363762e+01
3.640000e+02	5.243591e+01
3.650000e+02	5.189145e+01
3.660000e+02	5.155321e+01
3.670000e+02	5.325130e+01
3.680000e+02	5.241259e+01
3.690000e+02	5.216039e+01
3.700000e+02	5.616330e+01
3.710000e+02	5.736942e+01
3.720000e+02	5.871457e+01
3.730000e+02	5.987193e+01
3.740000e+02	5.876972e+01
3.750000e+02	5.741162e+01
3.760000e+02	5.627823e+01
3.770000e+02	5.550873e+01
3.780000e+02	5.680103e+01
3.790000e+02	5.548316e+01
3.800000e+02	5.430542e+01
3.810000e+02	5.388431e+01
3.820000e+02	5.297641e+01
3.830000e+02	5.328295e+01
3.840000e+02	5.294199e+01
3.850000e+02	5.177267e+01
3.860000e+02	5.102839e+01
3.870000e+02	5.256134e+01
3.880000e+02	5.308063e+01
3.890000e+02	5.949585e+01
3.900000e+02	6.233999e+01
3.910000e+02	6.155726e+01
3.920000e+02	6.138468e+01
3.930000e+02	6.034890e+01
3.940000e+02	5.935722e+01
3.950000e+02	5.848258e+01
3.960000e+02	5.703247e+01
3.970000e+02	5.627325e+01
3.980000e+02	5.495269e+01
3.990000e+02	5.379897e+01
4.000000e+02	5.286527e+01
4.010000e+02	5.132857e+01
4.020000e+02	5.111942e+01
4.030000e+02	5.255228e+01
4.040000e+02	5.212472e+01
4.050000e+02	5.146967e+01
4.060000e+02	5.752887e+01
4.070000e+02	5.910378e+01
4.080000e+02	6.065093e+01
4.090000e+02	6.039686e+01
4.100000e+02	5.988200e+01
4.110000e+02	5.921960e+01
4.120000e+02	5.733197e+01
4.130000e+02	5.499440e+01
4.140000e+02	5.338438e+01
4.150000e+02	5.207138e+01
