	OASPL Time History(Microphone)	
X [s]	dB [Ref 2.00e-05 Pa]
0.000000e+00	5.885918e+01
1.000000e+00	6.250926e+01
2.000000e+00	5.841720e+01
3.000000e+00	5.517412e+01
4.000000e+00	5.533853e+01
5.000000e+00	5.776468e+01
6.000000e+00	5.729529e+01
7.000000e+00	5.687087e+01
8.000000e+00	5.608703e+01
9.000000e+00	5.562524e+01
1.000000e+01	5.691644e+01
1.100000e+01	5.606530e+01
1.200000e+01	5.622149e+01
1.300000e+01	5.679461e+01
1.400000e+01	5.651961e+01
1.500000e+01	5.639911e+01
1.600000e+01	5.645818e+01
1.700000e+01	5.689856e+01
1.800000e+01	5.872455e+01
1.900000e+01	5.818431e+01
2.000000e+01	5.754559e+01
2.100000e+01	5.829174e+01
2.200000e+01	5.686776e+01
2.300000e+01	5.618592e+01
2.400000e+01	5.547997e+01
2.500000e+01	5.550723e+01
2.600000e+01	5.453373e+01
2.700000e+01	5.303288e+01
2.800000e+01	5.279176e+01
2.900000e+01	5.310439e+01
3.000000e+01	5.566986e+01
3.100000e+01	5.391384e+01
3.200000e+01	5.472933e+01
3.300000e+01	5.869494e+01
3.400000e+01	5.853088e+01
3.500000e+01	5.735970e+01
3.600000e+01	5.974108e+01
3.700000e+01	5.986799e+01
3.800000e+01	6.250805e+01
3.900000e+01	6.301126e+01
4.000000e+01	6.241308e+01
4.100000e+01	6.351994e+01
4.200000e+01	6.369559e+01
4.300000e+01	6.436227e+01
4.400000e+01	6.461275e+01
4.500000e+01	6.489021e+01
4.600000e+01	6.519796e+01
4.700000e+01	6.587967e+01
4.800000e+01	6.621394e+01
4.900000e+01	6.658858e+01
5.000000e+01	6.706425e+01
5.100000e+01	6.722509e+01
5.200000e+01	6.775712e+01
5.300000e+01	6.757355e+01
5.400000e+01	6.847581e+01
5.500000e+01	6.878716e+01
5.600000e+01	6.804736e+01
5.700000e+01	6.794972e+01
5.800000e+01	6.800462e+01
5.900000e+01	6.706834e+01
6.000000e+01	6.669842e+01
6.100000e+01	6.630378e+01
6.200000e+01	6.533874e+01
6.300000e+01	6.465720e+01
6.400000e+01	6.410390e+01
6.500000e+01	6.337230e+01
6.600000e+01	6.234147e+01
6.700000e+01	6.118281e+01
6.800000e+01	6.051830e+01
6.900000e+01	5.956639e+01
7.000000e+01	5.873232e+01
7.100000e+01	5.755640e+01
7.200000e+01	5.632317e+01
7.300000e+01	5.544342e+01
7.400000e+01	5.430350e+01
7.500000e+01	5.228177e+01
7.600000e+01	4.990323e+01
7.700000e+01	5.191559e+01
7.800000e+01	5.410438e+01
7.900000e+01	5.795848e+01
8.000000e+01	5.802752e+01
8.100000e+01	5.805829e+01
8.200000e+01	5.831587e+01
8.300000e+01	5.723806e+01
8.400000e+01	5.702849e+01
8.500000e+01	5.629840e+01
8.600000e+01	5.659195e+01
8.700000e+01	5.679693e+01
8.800000e+01	5.995607e+01
8.900000e+01	5.961535e+01
9.000000e+01	6.113714e+01
9.100000e+01	6.181276e+01
9.200000e+01	6.169024e+01
9.300000e+01	6.193158e+01
9.400000e+01	6.366736e+01
9.500000e+01	6.465878e+01
9.600000e+01	6.614064e+01
9.700000e+01	6.567472e+01
9.800000e+01	6.445288e+01
9.900000e+01	6.366594e+01
1.000000e+02	6.429797e+01
1.010000e+02	6.546403e+01
1.020000e+02	6.582268e+01
1.030000e+02	6.451411e+01
1.040000e+02	6.326596e+01
1.050000e+02	6.294059e+01
1.060000e+02	6.225331e+01
1.070000e+02	6.124280e+01
1.080000e+02	5.969196e+01
1.090000e+02	5.849915e+01
1.100000e+02	5.713480e+01
1.110000e+02	5.555969e+01
1.120000e+02	5.377359e+01
1.130000e+02	5.203995e+01
1.140000e+02	4.960254e+01
1.150000e+02	4.710788e+01
1.160000e+02	5.236510e+01
1.170000e+02	5.410540e+01
1.180000e+02	5.928545e+01
1.190000e+02	5.908942e+01
1.200000e+02	6.058872e+01
1.210000e+02	6.058143e+01
1.220000e+02	6.201883e+01
1.230000e+02	6.435787e+01
1.240000e+02	6.354553e+01
1.250000e+02	6.256063e+01
1.260000e+02	6.359716e+01
1.270000e+02	6.492767e+01
1.280000e+02	6.607799e+01
1.290000e+02	6.591299e+01
1.300000e+02	6.446838e+01
1.310000e+02	6.497678e+01
1.320000e+02	6.623486e+01
1.330000e+02	6.651119e+01
1.340000e+02	6.548933e+01
1.350000e+02	6.424108e+01
1.360000e+02	6.364946e+01
1.370000e+02	6.423328e+01
1.380000e+02	6.288585e+01
1.390000e+02	6.238802e+01
1.400000e+02	6.268416e+01
1.410000e+02	6.114781e+01
1.420000e+02	5.975793e+01
1.430000e+02	5.888359e+01
1.440000e+02	5.795611e+01
1.450000e+02	5.685137e+01
1.460000e+02	5.578802e+01
1.470000e+02	5.437036e+01
1.480000e+02	5.391020e+01
1.490000e+02	5.503341e+01
1.500000e+02	5.673312e+01
1.510000e+02	6.223528e+01
1.520000e+02	6.326404e+01
1.530000e+02	6.293906e+01
1.540000e+02	6.521951e+01
1.550000e+02	6.492902e+01
1.560000e+02	6.699266e+01
1.570000e+02	6.592474e+01
1.580000e+02	6.546351e+01
1.590000e+02	6.513779e+01
1.600000e+02	6.429857e+01
1.610000e+02	6.499332e+01
1.620000e+02	6.600568e+01
1.630000e+02	6.660230e+01
1.640000e+02	6.701887e+01
1.650000e+02	6.622582e+01
1.660000e+02	6.628931e+01
1.670000e+02	6.689677e+01
1.680000e+02	6.788205e+01
1.690000e+02	6.808920e+01
1.700000e+02	6.841885e+01
1.710000e+02	6.825225e+01
1.720000e+02	6.898537e+01
1.730000e+02	6.954890e+01
1.740000e+02	6.944406e+01
1.750000e+02	6.937757e+01
1.760000e+02	6.908278e+01
1.770000e+02	6.911518e+01
1.780000e+02	6.925512e+01
