	OASPL Time History(Microphone)	OASPL Time History(Microphone)	
X [s]	dB [Ref 2.00e-05 Pa]	dB [Ref 2.00e-05 Pa]
1.300000e+02	6.284919e+01	6.443911e+01
1.310000e+02	6.149323e+01	6.326517e+01
1.320000e+02	6.006012e+01	6.304574e+01
1.330000e+02	5.924756e+01	6.448546e+01
1.340000e+02	5.874133e+01	6.430886e+01
1.350000e+02	5.756180e+01	6.410934e+01
1.360000e+02	5.653151e+01	6.354610e+01
1.370000e+02	5.581296e+01	6.412757e+01
1.380000e+02	5.462064e+01	6.515388e+01
1.390000e+02	5.316491e+01	6.457240e+01
1.400000e+02	5.438973e+01	6.380381e+01
1.410000e+02	5.767527e+01	6.311054e+01
1.420000e+02	5.929445e+01	6.245295e+01
1.430000e+02	5.972678e+01	6.165055e+01
1.440000e+02	6.085373e+01	6.075891e+01
1.450000e+02	6.097207e+01	6.006524e+01
1.460000e+02	6.378784e+01	5.887223e+01
1.470000e+02	6.409803e+01	6.272589e+01
1.480000e+02	6.390370e+01	6.079855e+01
1.490000e+02	6.479797e+01	5.939876e+01
1.500000e+02	6.634603e+01	5.749133e+01
1.510000e+02	6.929355e+01	5.671109e+01
1.520000e+02	6.833360e+01	5.470961e+01
1.530000e+02	6.632853e+01	5.343441e+01
1.540000e+02	6.592481e+01	5.296293e+01
1.550000e+02	6.654335e+01	5.252699e+01
1.560000e+02	6.791179e+01	5.131627e+01
1.570000e+02	6.826283e+01	5.114495e+01
1.580000e+02	6.895837e+01	4.992183e+01
1.590000e+02	6.787377e+01	5.032026e+01
1.600000e+02	6.784415e+01	5.079646e+01
1.610000e+02	6.891660e+01	5.132262e+01
1.620000e+02	6.894448e+01	5.324909e+01
1.630000e+02	6.947311e+01	5.402499e+01
1.640000e+02	6.935992e+01	5.445438e+01
1.650000e+02	7.013000e+01	5.385995e+01
1.660000e+02	7.074679e+01	5.485214e+01
1.670000e+02	7.072138e+01	5.557628e+01
1.680000e+02	7.049359e+01	5.562678e+01
1.690000e+02	7.034750e+01	6.333226e+01
1.700000e+02	7.015906e+01	6.250834e+01
1.710000e+02	6.979836e+01	6.502653e+01
1.720000e+02	6.965955e+01	6.546806e+01
1.730000e+02	6.963558e+01	6.465996e+01
1.740000e+02	6.935839e+01	6.520499e+01
1.750000e+02	6.868446e+01	6.640829e+01
1.760000e+02	6.885931e+01	6.916649e+01
1.770000e+02	6.845332e+01	7.057745e+01
1.780000e+02	6.751708e+01	6.939953e+01
1.790000e+02	6.743237e+01	6.820477e+01
1.800000e+02	6.706110e+01	6.815695e+01
1.810000e+02	6.765076e+01	6.918073e+01
1.820000e+02	6.779494e+01	7.068346e+01
1.830000e+02	6.742194e+01	7.074755e+01
1.840000e+02	6.662939e+01	7.173970e+01
1.850000e+02	6.650046e+01	7.146910e+01
1.860000e+02	6.810256e+01	7.002951e+01
1.870000e+02	6.726450e+01	6.992354e+01
1.880000e+02	6.745937e+01	7.019971e+01
1.890000e+02	6.716930e+01	7.047279e+01
1.900000e+02	6.627462e+01	7.087378e+01
1.910000e+02	6.610194e+01	7.076404e+01
1.920000e+02	6.569346e+01	7.013375e+01
1.930000e+02	6.549895e+01	6.964196e+01
1.940000e+02	6.576074e+01	6.967796e+01
1.950000e+02	6.522147e+01	6.972138e+01
1.960000e+02	6.609621e+01	6.934404e+01
1.970000e+02	6.627513e+01	6.924270e+01
1.980000e+02	6.576871e+01	6.999393e+01
1.990000e+02	6.542270e+01	6.983404e+01
2.000000e+02	6.477825e+01	6.919516e+01
2.010000e+02	6.451756e+01	6.912682e+01
2.020000e+02	6.424171e+01	6.874337e+01
2.030000e+02	6.457707e+01	6.889484e+01
2.040000e+02	6.403666e+01	6.871133e+01
2.050000e+02	6.343531e+01	6.890873e+01
2.060000e+02	6.281031e+01	6.907133e+01
2.070000e+02	6.261131e+01	6.906276e+01
2.080000e+02	6.384089e+01	6.918481e+01
2.090000e+02	6.354231e+01	6.911421e+01
2.100000e+02	6.332800e+01	7.102970e+01
2.110000e+02	6.346942e+01	7.059454e+01
2.120000e+02	6.374619e+01	7.052375e+01
2.130000e+02	6.322801e+01	6.966310e+01
2.140000e+02	6.238613e+01	6.944538e+01
2.150000e+02	6.187197e+01	6.880376e+01
2.160000e+02	6.167065e+01	6.886075e+01
2.170000e+02	6.363558e+01	6.851942e+01
2.180000e+02	6.178241e+01	6.852045e+01
2.190000e+02	6.087521e+01	6.818848e+01
2.200000e+02	6.022137e+01	6.818560e+01
2.210000e+02	5.910577e+01	6.877959e+01
2.220000e+02	5.876645e+01	6.836302e+01
2.230000e+02	5.920496e+01	6.789522e+01
2.240000e+02	6.173217e+01	6.783725e+01
2.250000e+02	6.195095e+01	6.757999e+01
2.260000e+02	6.346845e+01	6.751806e+01
2.270000e+02	6.384750e+01	6.748667e+01
2.280000e+02	6.554721e+01	6.723679e+01
2.290000e+02	6.655067e+01	6.688438e+01
2.300000e+02	6.719759e+01	6.617867e+01
2.310000e+02	6.641573e+01	6.519440e+01
2.320000e+02	6.536095e+01	6.384033e+01
2.330000e+02	6.496888e+01	6.248080e+01
2.340000e+02	6.561903e+01	6.155263e+01
2.350000e+02	6.617117e+01	6.050128e+01
2.360000e+02	6.600607e+01	5.969336e+01
2.370000e+02	6.560822e+01	5.907914e+01
2.380000e+02	6.580421e+01	5.847919e+01
2.390000e+02	6.682455e+01	5.768927e+01
2.400000e+02	6.727918e+01	5.749476e+01
2.410000e+02	6.699181e+01	5.919087e+01
2.420000e+02	6.735986e+01	6.052806e+01
2.430000e+02	6.729543e+01	6.337419e+01
2.440000e+02	6.739091e+01	6.470800e+01
2.450000e+02	6.585107e+01	6.532814e+01
2.460000e+02	6.545492e+01	6.658430e+01
2.470000e+02	6.509303e+01	6.659046e+01
2.480000e+02	6.498820e+01	6.625153e+01
2.490000e+02	6.402103e+01	6.522854e+01
2.500000e+02	6.305599e+01	6.335172e+01
2.510000e+02	6.320758e+01	6.210059e+01
2.520000e+02	6.283707e+01	6.087671e+01
2.530000e+02	6.243523e+01	6.058209e+01
2.540000e+02	6.142024e+01	6.025531e+01
2.550000e+02	6.211770e+01	6.012707e+01
2.560000e+02	6.431929e+01	5.973445e+01
2.570000e+02	6.497003e+01	5.937867e+01
2.580000e+02	6.426761e+01	5.917938e+01
2.590000e+02	6.383834e+01	5.917088e+01
2.600000e+02	6.363529e+01	5.963055e+01
2.610000e+02	6.488970e+01	6.025528e+01
2.620000e+02	6.531316e+01	6.035978e+01
2.630000e+02	6.721029e+01	5.946254e+01
2.640000e+02	6.750330e+01	5.907833e+01
2.650000e+02	6.748827e+01	6.185386e+01
2.660000e+02	6.667872e+01	6.337198e+01
2.670000e+02	6.654478e+01	6.291186e+01
2.680000e+02	6.540591e+01	6.371875e+01
2.690000e+02	6.400302e+01	6.414105e+01
2.700000e+02	6.362420e+01	6.421398e+01
2.710000e+02	6.220735e+01	6.483772e+01
2.720000e+02	6.167390e+01	6.495927e+01
2.730000e+02	6.086335e+01	6.451833e+01
2.740000e+02	6.095605e+01	6.450121e+01
2.750000e+02	6.057451e+01	6.333969e+01
2.760000e+02	5.964032e+01	6.158634e+01
2.770000e+02	5.854630e+01	6.083888e+01
2.780000e+02	5.687082e+01	6.044135e+01
2.790000e+02	5.694423e+01	6.049368e+01
2.800000e+02	5.693153e+01	5.951211e+01
2.810000e+02	6.038144e+01	5.873288e+01
2.820000e+02	6.086525e+01	5.711014e+01
2.830000e+02	6.083154e+01	5.692814e+01
2.840000e+02	6.205534e+01	6.352818e+01
2.850000e+02	6.342107e+01	6.355386e+01
2.860000e+02	6.311386e+01	6.383224e+01
2.870000e+02	6.428852e+01	6.496752e+01
2.880000e+02	6.531197e+01	6.628912e+01
2.890000e+02	6.597270e+01	6.620943e+01
2.900000e+02	6.565234e+01	6.617294e+01
2.910000e+02	6.431239e+01	6.612195e+01
2.920000e+02	6.371785e+01	6.586275e+01
2.930000e+02	6.526469e+01	6.446507e+01
2.940000e+02	6.637220e+01	6.403693e+01
2.950000e+02	6.672028e+01	6.275164e+01
2.960000e+02	6.738534e+01	6.193737e+01
2.970000e+02	6.737486e+01	6.136317e+01
2.980000e+02	6.695623e+01	6.073788e+01
